country,namePlant,latitude,longitude,primaryfuel
Argentina,CT MAGDALENA,-35.1001,-57.4839,oil
Argentina,CT MATHEU,-34.3931,-58.8372,gas
Argentina,CT MEDANITOS (RINCON DE LOS SAUCES),-37.4102,-68.9,oil
Argentina,CT MIRAMAR I,-38.2472,-57.8242,oil
Argentina,CT OLAVARRIA,-36.9439,-60.2361,gas
Argentina,CT ORAN,-23.1258,-64.3069,oil
Argentina,CT PARANA,-31.7764,-60.4553,gas
Argentina,CT PARQUE INDUSTRIAL CATAMARCA,-28.5339,-65.7997,oil
Argentina,CT PASO DE LA PATRIA,-27.3236,-58.5667,oil
Argentina,CT PEHUAJO,-35.8336,-61.8758,oil
Argentina,CT PINAMAR,-37.0953,-56.8789,gas
Argentina,CT PIRANE,-25.6786,-59.0756,oil
Argentina,CT PLUSPETROL NORTE,-26.9955,-65.166,gas
Argentina,CT RAFAELA,-31.2567,-61.5203,oil
Argentina,CT REALICO,-35.055,-64.2406,oil
Argentina,CT ROCA,-31.8919,-60.0106,gas
Argentina,CT SAENZ PEÑA  I,-26.8156,-60.4114,oil
Argentina,CT SAENZ PEÑA  II,-26.8153,-60.4125,oil
Argentina,CT SALTO,-27.4597,-65.6055,oil
Argentina,CT SAN MARTIN NORTE III,-34.5252,-58.6206,oil
Argentina,CT AÑATUYA II,-28.4431,-62.8569,oil
Argentina,CT LAGUNA BLANCA,-25.1286,-58.2597,oil
Argentina,CT LA RIOJA SUR,-29.3808,-66.8319,oil
Argentina,CT LA RIOJA DELIVERY,-29.3811,-66.8325,oil
Argentina,CT BARILOCHE,-41.1497,-71.2633,oil
Argentina,CT BELL VILLE,-32.6103,-62.6864,oil
Argentina,CT BRAGADO,-35.1364,-60.4311,gas
Argentina,CT CAPITAN SARMIENTO,-34.1636,-59.7683,oil
Argentina,CT CATAMARCA,-28.4706,-65.7647,oil
Argentina,CT CAVIAHUE,-38.0528,-70.6136,oil
Argentina,CT CERES,-29.8883,-61.9297,oil
Argentina,CT CHARATA,-27.2369,-61.1939,oil
Argentina,CT CHILECITO,-29.1581,-67.5072,oil
Argentina,CT CIPOLLETTI,-38.9133,-67.9414,oil
Argentina,CT COLON BUENOS AIRES,-33.9222,-61.0769,oil
Argentina,CT CONCEPCION DEL URUGUAY,-32.4767,-58.2672,gas
Argentina,CT SAN MIGUEL DE TUCUMAN,-26.9955,-65.166,gas
Argentina,CT CORRIENTES,-27.4708,-58.8042,oil
Argentina,CT ENSENADA DE BARRAGAN,-34.8597,-57.9557,gas
Argentina,CT ESQUINA,-30.055,-59.5294,oil
Argentina,CT FORMOSA II,-26.1764,-58.2094,oil
Argentina,CT GENERAL VILLEGAS,-35.0347,-62.9981,oil
Argentina,CT GOYA,-29.1583,-59.2728,oil
Argentina,CT INDEPENDENCIA,-26.8666,-65.2247,gas
Argentina,CT INGENIERO JUAREZ,-23.9078,-61.8342,oil
Argentina,CT INTA CATAMARCA,-28.4733,-65.7275,oil
Argentina,CT ISLA VERDE,-33.2425,-62.395,oil
Argentina,CT JUAN JOSE CASTELLI,-25.9564,-60.6204,oil
Argentina,CT JUNIN,-34.5708,-60.9161,oil
Argentina,CT LA PLATA,-34.9344,-58.016,oil
Argentina,CT ECOENERGIA (PETROBRAS),-38.6871,-62.3961,coal
Argentina,CT SAN MIGUEL NORTE III,-34.5252,-58.6206,oil
Armenia,Tatev,39.3956,46.2578,hydro
Armenia,Yerevan,40.1138,44.5038,gas
Armenia,Spandaryan,39.6494,45.85,hydro
Armenia,Shamb,39.4743,46.1306,hydro
Armenia,New Yerevan,40.1152,44.4973,gas
Armenia,Hrazadan,40.564,44.7479,gas
Armenia,Armenian-2,40.1805,44.1498,nuclear
Armenia,Sevan-Hrazdan Cascade,40.5078,44.7606,hydro
Australia,Snowtown North,-33.714,138.1402,wind
Australia,Perth Zoo,-31.9767,115.8548,solar
Australia,Peterborough SA,-32.945,138.905,solar
Australia,Pindari,-29.3886,151.2442,hydro
Australia,Pine Creek,-13.7856,131.8624,gas
Australia,Pinjar,-31.5568,115.8204,gas
Australia,Plane Creek Sugar Mill,-21.4282,149.2159,biomass
Australia,Pioneer Sugar Mill,-19.5575,147.3308,biomass
Australia,Plutonic Gold Mine,-25.311,119.4508,gas
Australia,Poatina,-41.8115,146.9192,hydro
Australia,Port Hedland,-20.4283,118.5498,gas
Australia,Port Hedland (Smaller),-20.3782,118.5384,gas
Australia,Pinjarra Bauxite Mine and Alumina Refinery,-32.6473,115.9469,gas
Australia,Pelican Point,-34.765,138.5053,gas
Australia,Parkes Solar Farm,-33.1027,148.075,solar
Australia,Paraburdoo (Standby),-23.2238,117.6137,gas
Australia,Paraburdoo,-23.2233,117.6133,gas
Australia,Paloona,-41.2826,146.249,hydro
Australia,Owen Springs,-23.8636,133.8255,gas
Australia,Osborne,-34.798,138.5079,gas
Australia,Ord River,-16.1201,128.7383,hydro
Australia,Onslow,-21.6582,115.099,gas
Australia,Oaky Creek,-22.9878,148.5817,gas
Australia,Oaky,-30.5751,152.069,hydro
Australia,Oakland Hills Wind Farm,-37.6871,142.5467,wind
Australia,Oakey 2,-27.412,151.655,solar
Australia,Oakey 1,-27.406,151.647,solar
Australia,Pedler Creek,-35.2023,138.5021,waste
Australia,Port Lincoln,-34.7003,135.8044,oil
Australia,Proserpine Sugar Mill,-20.3985,148.5797,biomass
Australia,Quarantine,-34.7793,138.5224,gas
Australia,Smithfield Energy,-33.85,150.9495,gas
Australia,Shepparton Biogas Generation Plant,-36.3218,145.379,waste
Australia,Shenton Park WMRC Project,-31.9577,115.7924,waste
Australia,Savannah Nickel Mine,-17.3631,128.0331,oil
Australia,Sapphire Wind Farm,-29.6997,151.4119,wind
Australia,Rugby Run Solar Farm,-22.1405,147.9188,solar
Australia,Rubicon,-37.3272,145.8605,hydro
Australia,Royalla Solar Farm,-35.4897,149.1435,solar
Australia,Roy Hill,-22.4812,119.9472,oil
Australia,Rowallan,-41.7295,146.2176,hydro
Australia,Ross River,-19.424,146.715,solar
Australia,Ron Goodin,-23.7091,133.8912,gas
Australia,Port Stanvac,-35.1104,138.4915,oil
Australia,Roma,-26.5772,148.8402,gas
Australia,Roghan Road,-27.3388,153.0344,waste
Australia,Rocky Point Sugar Sugar Mill,-27.7334,153.3276,biomass
Australia,Rockingham,-32.2863,115.8154,waste
Australia,Rochedale,-27.5591,153.1236,waste
Australia,Revesby Workers Club,-33.9534,151.0137,oil
Australia,Repulse,-42.5077,146.647,hydro
Australia,Remount,-41.395,147.1554,waste
Australia,Reece,-41.7238,145.1359,hydro
Australia,Redbank,-32.5802,151.0719,coal
Australia,Red Hill,-31.8317,116.0992,waste
Australia,Ravensthorpe,-33.61,120.36,oil
Australia,Racecourse Mill,-21.1635,149.1344,biomass
Australia,Rollingstone QLD,-19.03,146.394,solar
Australia,Oakey,-27.4183,151.6797,gas
Australia,Manildra Solar Farm,-33.1733,148.718,solar
Australia,Nymboida,-29.9257,152.7417,hydro
Australia,Mt Gellibrand Wind Farm,-38.2587,143.8019,wind
Australia,Mt Gambier,-37.8388,140.8057,biomass
Australia,Mount Stuart,-19.338,146.8512,oil
Australia,Mount Millar Wind Farm,-33.6255,136.7039,wind
Australia,Mount Magnet,-28.0871,117.8327,gas
Australia,Mount Keith Nickel Mine,-27.2146,120.548,gas
Australia,Mortons Lane Wind Farm,-37.8413,142.4653,wind
Australia,Mortlake,-38.0632,142.6675,gas
Australia,Mornington,-38.3916,144.8553,waste
Australia,Moree,-29.5722,149.8669,solar
Australia,Moranbah North,-21.8967,147.9507,gas
Australia,Moranbah,-21.9851,148.0246,gas
Australia,Mt Mercer Wind Farm,-37.8317,143.8892,wind
Australia,Moorabool South Wind Farm,-37.7402,144.1622,wind
Australia,Mintaro,-33.9031,138.7383,gas
Australia,Millmerran,-27.9615,151.2789,coal
Australia,Mica Creek,-20.7776,139.4906,gas
Australia,Merredin,-31.5423,118.227,gas
Australia,Melbourne,-37.8086,144.9685,gas
Australia,Meekatharra,-26.5952,118.483,oil
Australia,Meadowbank,-42.6112,146.8457,hydro
Australia,McKay Creek (Mount Beauty Hydro Scheme),-36.8584,147.2345,hydro
Australia,McArthur River Mine,-16.4335,136.0935,gas
Australia,Maryvale Mill,-38.1809,146.4479,biomass
Australia,Maryborough,-25.5476,152.7171,biomass
Australia,Marble Bar Diesel Backup,-21.1649,119.7419,oil
Australia,Moorabool North Wind Farm,-37.655,144.1913,wind
Australia,Mt Piper,-33.3589,150.0313,coal
Australia,Mugga Lane,-35.3953,149.1458,waste
Australia,Mugga Lane Solar Park,-35.3989,149.146,solar
Australia,Numurkah Solar Farm,-36.1592,145.4746,solar
Australia,Northam,-31.652,116.711,solar
Australia,North Sydney,-33.8398,151.2069,gas
Australia,North Brown Hill  Wind Farm,-33.3093,138.7296,wind
Australia,Norseman Mine,-32.1963,121.7943,oil
Australia,Normanton,-17.681,141.05,solar
Australia,Noranda,-31.8654,115.8773,waste
Australia,Nine Network,-33.811,151.1966,oil
Australia,Nieterana,-42.2686,146.2629,hydro
Australia,Nhulunbuy,-12.1889,136.6872,oil
Australia,Newport,-37.8415,144.8942,gas
Australia,Newman Iron Ore Mine,-23.3443,119.7086,gas
Australia,Neerabup,-31.6712,115.8021,gas
Australia,Narromine,-32.224,148.256,solar
Australia,Narrogin Bioenergy Plant,-32.9521,117.1916,biomass
Australia,Musselroe,-40.7798,148.0097,wind
Australia,Murrin Murrin (Nickel Mine),-28.9238,121.3293,gas
Australia,Murray 2,-36.2423,148.1362,hydro
Australia,Murray 1,-36.2467,148.1901,hydro
Australia,Murra Warra Wind Farm,-36.4333,142.3182,wind
Australia,Munmorah,-33.2117,151.5418,coal
Australia,Mungullah,-24.8911,113.7095,gas
Australia,Mungarra,-28.8893,115.1177,gas
Australia,Mumbida Wind Farm,-28.9918,114.9599,wind
Australia,Mulgrave,-17.0932,145.7887,biomass
Australia,Muja D,-33.4464,116.3074,coal
Australia,Muja C,-33.446,116.3062,coal
Australia,Nyngan Solar Plant,-31.5527,147.0854,solar
Australia,Snowtown South,-33.8302,138.1184,wind
Australia,Victoria Sugar Mill,-18.6508,146.2016,biomass
Australia,Solomon Iron Ore Mine,-22.1581,117.9849,gas
Australia,Wilga Park,-30.3634,149.6772,gas
Australia,Whyalla SSE,-33.007,137.558,solar
Australia,Whitwood Road,-27.659,152.8237,waste
Australia,Whitsunday Solar Farm,-20.4949,147.7481,solar
Australia,White Rock,-29.765,151.553,solar
Australia,Western Suburbs Leagues Club (Campbelltown),-34.0513,150.8329,oil
Australia,West Nowra (Shoalhaven),-34.882,150.5515,waste
