idCountry,idPrimaryFuel,namePlant,latitude,longitude
10,4,Jundee Gold Mine,-26.3712,120.5776
10,4,KRC Cogeneration Plant,-27.4453,153.1185
10,1,Kalamia Sugar Mill,-19.5223,147.4152
10,8,Kalamunda,-31.9768,115.9988
10,17,Kalbarri Wind Farm,-27.8995,114.1946
10,4,Kalgoorlie (Parkeston),-30.7378,121.5065
10,4,Kalgoorlie Nickel Smelter,-30.8737,121.4842
10,4,Kambalda,-31.1919,121.6741
10,6,Kangaroo Valley (Shoalhaven Scheme),-34.723,150.4795
10,13,Karadoc Solar Farm,-34.4154,142.2521
10,6,Kareeya,-17.767,145.5779
10,4,Karratha,-20.7626,116.8375
10,4,Katherine,-14.4587,132.2445
10,4,Kemerton,-33.1633,115.7805
10,17,Kiata Wind Farm,-36.3966,141.7474
10,13,Kidston I,-18.89,144.14
10,8,King Island (Currie),-39.9388,143.892
10,2,Kogan Creek,-26.9177,150.7493
10,6,Koombooloomba,-17.8313,145.6034
